,price_USD,covered_surface_m2,bedrooms,price/m2,bathrooms,latitude,longitude,type_casa,type_departamento,type_ph
144,65000.0,50.0,2.0,2136.5548604191617,1.0,-34.54785,-58.556076,0,0,1
145,115000.0,55.0,1.0,2136.5548604191617,1.0,-34.54759,-58.55432,0,1,0
146,89500.0,46.0,1.0,2136.5548604191617,1.0,-34.547894,-58.556026,0,1,0
147,125000.0,63.0,2.0,2136.5548604191617,1.0,-34.547108,-58.55521,0,1,0
148,159000.0,64.0,2.0,2136.5548604191617,1.0,-34.54747,-58.55644,0,1,0
149,170000.0,63.0,2.0,2136.5548604191617,1.0,-34.546986,-58.551914,0,1,0
150,85000.0,55.0,1.0,2136.5548604191617,1.0,-34.547077,-58.556236,0,1,0
151,135000.0,80.0,1.0,2136.5548604191617,1.0,-34.55049,-58.55514,1,0,0
152,110000.0,47.0,1.0,2136.5548604191617,1.0,-34.54806,-58.55719,0,1,0
153,290000.0,113.0,3.0,2136.5548604191617,2.0,-34.54986,-58.55562,0,1,0
154,110000.0,42.0,1.0,2136.5548604191617,1.0,-34.54641,-58.55545,0,1,0
155,118000.0,45.0,1.0,2136.5548604191617,1.0,-34.54851,-58.557083,0,1,0
156,220000.0,98.0,3.0,2136.5548604191617,2.0,-34.54719,-58.55153,0,1,0
157,75000.0,45.0,1.0,2136.5548604191617,1.0,-34.548183,-58.5543,0,1,0
158,95000.0,45.0,1.0,2136.5548604191617,1.0,-34.54824,-58.554276,0,1,0
159,89000.0,65.0,1.0,2136.5548604191617,1.0,-34.549755,-58.555843,0,1,0
160,125000.0,48.0,1.0,2136.5548604191617,1.0,-34.54714,-58.55258,0,1,0
161,109000.0,46.0,1.0,2136.5548604191617,1.0,-34.546917,-58.553772,0,1,0
162,145000.0,63.0,2.0,2136.5548604191617,1.0,-34.54819,-58.555027,0,1,0
163,72000.0,36.0,1.0,2136.5548604191617,1.0,-34.54927,-58.554634,0,1,0
164,165000.0,81.0,3.0,2136.5548604191617,1.0,-34.548183,-58.5543,0,1,0
165,147000.0,58.0,2.0,2136.5548604191617,1.0,-34.54778,-58.55685,0,1,0
166,98000.0,35.0,1.0,2136.5548604191617,1.0,-34.547447,-58.55329,0,1,0
167,399000.0,221.0,4.0,2136.5548604191617,2.0,-34.548553,-58.55388,0,1,0
168,110000.0,42.0,1.0,2136.5548604191617,1.0,-34.546173,-58.55543,0,1,0
169,165000.0,56.0,2.0,2136.5548604191617,2.0,-34.547848,-58.55694,0,1,0
170,50000.0,22.0,0.0,2136.5548604191617,1.0,-34.542725,-58.555553,0,1,0
171,250000.0,203.0,2.0,2136.5548604191617,2.0,-34.54575,-58.555424,1,0,0
172,220000.0,85.0,2.0,2136.5548604191617,2.0,-34.546482,-58.557983,0,1,0
173,85000.0,40.0,1.0,2136.5548604191617,1.0,-34.54562,-58.55462,0,1,0
174,83000.0,45.0,1.0,2136.5548604191617,1.0,-34.547787,-58.556084,0,1,0
175,55000.0,30.0,0.0,2136.5548604191617,1.0,-34.548756,-58.5549,0,1,0
176,270000.0,160.0,2.0,2136.5548604191617,1.0,-34.5475,-58.55643,1,0,0
177,125000.0,50.0,1.0,2136.5548604191617,1.0,-34.54806,-58.55715,0,1,0
178,125000.0,55.0,2.0,2136.5548604191617,1.0,-34.546642,-58.553375,0,1,0
179,120000.0,55.0,1.0,2136.5548604191617,1.0,-34.54864,-58.556835,0,1,0
180,549000.0,220.0,3.0,2136.5548604191617,3.0,-34.54649,-58.56062,1,0,0
181,230000.0,140.0,3.0,2136.5548604191617,3.0,-34.543156,-58.553234,1,0,0
182,139000.0,62.0,2.0,2136.5548604191617,2.0,-34.547554,-58.5543,0,1,0
183,140000.0,96.0,3.0,2136.5548604191617,2.0,-34.54767,-58.55842,0,1,0
184,73000.0,45.0,1.0,2136.5548604191617,1.0,-34.547787,-58.55613,0,1,0
185,198000.0,102.0,3.0,2136.5548604191617,2.0,-34.54867,-58.55724,1,0,0
186,95000.0,44.0,1.0,2136.5548604191617,1.0,-34.546608,-58.556137,0,1,0
187,105000.0,46.0,1.0,2136.5548604191617,1.0,-34.547894,-58.556026,0,1,0
188,104000.0,40.0,1.0,2136.5548604191617,1.0,-34.5476,-58.553,0,1,0
189,65000.0,32.0,0.0,2136.5548604191617,1.0,-34.546192,-58.550297,0,1,0
190,70000.0,31.0,0.0,2136.5548604191617,1.0,-34.549755,-58.555843,0,1,0
191,140000.0,55.0,2.0,2136.5548604191617,1.0,-34.54381,-58.553898,0,1,0
192,127900.0,95.0,3.0,2136.5548604191617,1.0,-34.545513,-58.554142,0,0,1
193,135000.0,90.0,3.0,2136.5548604191617,1.0,-34.547794,-58.552612,0,0,1
194,350000.0,198.0,5.0,2136.5548604191617,5.0,-34.547176,-58.556465,1,0,0
195,225000.0,300.0,3.0,2136.5548604191617,2.0,-34.54311,-58.556248,1,0,0
196,260000.0,110.0,3.0,2136.5548604191617,3.0,-34.548096,-58.5558,0,1,0
197,77000.0,34.0,0.0,2136.5548604191617,1.0,-34.545315,-58.55387,0,1,0
198,153000.0,70.0,2.0,2136.5548604191617,2.0,-34.5457,-58.5546,0,1,0
199,62000.0,32.0,0.0,2136.5548604191617,1.0,-34.54737,-58.553894,0,1,0
200,430000.0,150.0,4.0,2136.5548604191617,3.0,-34.546482,-58.557983,0,1,0
201,95000.0,43.0,1.0,2136.5548604191617,1.0,-34.545616,-58.553703,0,1,0
202,58000.0,30.0,1.0,2136.5548604191617,1.0,-34.5493,-58.554607,0,1,0
203,89500.0,44.0,1.0,2136.5548604191617,1.0,-34.545654,-58.554253,0,1,0
204,108000.0,65.0,2.0,2136.5548604191617,1.0,-34.54931,-58.553734,0,1,0
205,110000.0,51.0,1.0,2136.5548604191617,1.0,-34.546234,-58.555332,0,1,0
206,109000.0,60.0,2.0,2136.5548604191617,1.0,-34.5479,-58.55596,0,1,0
207,159000.0,58.0,2.0,2136.5548604191617,2.0,-34.54437,-58.553513,0,1,0
208,108000.0,49.0,1.0,2136.5548604191617,1.0,-34.54806,-58.55715,0,1,0
209,142000.0,59.0,2.0,2136.5548604191617,2.0,-34.5456,-58.553562,0,1,0
210,290000.0,279.0,7.0,2136.5548604191617,5.0,-34.54541,-58.55376,1,0,0
211,135000.0,48.0,1.0,2136.5548604191617,1.0,-34.547894,-58.556026,0,1,0
212,110000.0,42.0,1.0,2136.5548604191617,1.0,-34.547398,-58.553314,0,1,0
213,140000.0,47.0,1.0,2136.5548604191617,1.0,-34.547817,-58.552067,0,1,0
214,165000.0,80.0,2.0,2136.5548604191617,1.0,-34.548515,-58.55378,0,1,0
215,115000.0,45.0,1.0,2136.5548604191617,1.0,-34.54722,-58.55185,0,1,0
