,price_USD,type,covered_surface_m2,bedrooms,price/m2,bathrooms,latitude,longitude
286,165000.0,casa,155.0,2.0,1888.9741893737053,1.0,-34.547035,-58.550327
287,155000.0,departamento,66.0,2.0,1888.9741893737053,2.0,-34.55015,-58.55141
288,79000.0,departamento,48.0,1.0,1888.9741893737053,1.0,-34.551323,-58.55193
289,98000.0,departamento,45.0,2.0,1888.9741893737053,1.0,-34.549778,-58.550003
290,105000.0,departamento,43.0,1.0,1888.9741893737053,1.0,-34.55114,-58.55104
291,84000.0,departamento,48.0,1.0,1888.9741893737053,1.0,-34.549667,-58.548805
292,175000.0,departamento,80.0,2.0,1888.9741893737053,2.0,-34.55053,-58.55136
293,115000.0,departamento,45.0,1.0,1888.9741893737053,1.0,-34.54915,-58.55105
294,292000.0,departamento,146.0,2.0,1888.9741893737053,1.0,-34.55194,-58.55196
295,75000.0,ph,39.0,1.0,1888.9741893737053,1.0,-34.55037,-58.55258
296,130000.0,departamento,79.0,2.0,1888.9741893737053,1.0,-34.54897,-58.54963
297,75000.0,departamento,45.0,1.0,1888.9741893737053,1.0,-34.554314,-58.547523
298,162000.0,ph,135.0,4.0,1888.9741893737053,2.0,-34.549175,-58.552956
299,98000.0,departamento,60.0,2.0,1888.9741893737053,1.0,-34.547028,-58.55101
300,65000.0,departamento,35.0,1.0,1888.9741893737053,1.0,-34.550518,-58.54707
301,125000.0,departamento,65.0,2.0,1888.9741893737053,1.0,-34.55127,-58.5519
302,74000.0,departamento,43.0,1.0,1888.9741893737053,1.0,-34.549053,-58.549564
303,90000.0,departamento,50.0,1.0,1888.9741893737053,1.0,-34.54968,-58.55232
304,330000.0,casa,247.0,3.0,1888.9741893737053,4.0,-34.55103,-58.55394
305,420000.0,casa,220.0,4.0,1888.9741893737053,2.0,-34.55286,-58.55091
306,75000.0,departamento,45.0,1.0,1888.9741893737053,1.0,-34.54915,-58.55105
307,295000.0,casa,161.0,2.0,1888.9741893737053,3.0,-34.54855,-58.55163
308,148500.0,casa,145.0,3.0,1888.9741893737053,2.0,-34.552704,-58.545853
309,390000.0,casa,320.0,3.0,1888.9741893737053,2.0,-34.55267,-58.55277
310,195000.0,departamento,93.0,2.0,1888.9741893737053,2.0,-34.55017,-58.55311
311,81000.0,departamento,40.0,1.0,1888.9741893737053,1.0,-34.55151,-58.551434
312,115000.0,departamento,48.0,1.0,1888.9741893737053,1.0,-34.549675,-58.54934
313,89000.0,departamento,47.0,1.0,1888.9741893737053,1.0,-34.550358,-58.55157
314,68000.0,departamento,45.0,1.0,1888.9741893737053,1.0,-34.548096,-58.551872
315,78000.0,departamento,40.0,1.0,1888.9741893737053,1.0,-34.547516,-58.548244
316,79900.0,departamento,40.0,2.0,1888.9741893737053,1.0,-34.549747,-58.549927
317,310000.0,casa,180.0,3.0,1888.9741893737053,2.0,-34.55225,-58.55056
318,205000.0,departamento,84.0,2.0,1888.9741893737053,2.0,-34.549137,-58.55261
319,85000.0,departamento,49.0,1.0,1888.9741893737053,1.0,-34.551243,-58.551834
