,price_USD,type,covered_surface_m2,bedrooms,bathrooms,latitude,longitude,seller,antiquity
1903,180000.0,ph,172.0,3.0,1.0,,,BARBARO PROPIEDADES,30.0
1904,159000.0,departamento,90.0,3.0,2.0,-34.575,-58.531757,BARBARO PROPIEDADES,25.0
1905,180000.0,departamento,107.0,3.0,2.0,-34.576405,-58.539604,BARBARO PROPIEDADES,40.0
1906,55000.0,departamento,26.0,0.0,1.0,-34.576405,-58.539604,BARBARO PROPIEDADES,40.0
1907,85000.0,departamento,62.0,1.0,1.0,-34.576405,-58.539604,BARBARO PROPIEDADES,40.0
1908,85000.0,casa,80.0,2.0,3.0,-34.544792,-58.539536,O' DUCH NEGOCIOS INMOBILIARIOS,38.0
1909,65000.0,departamento,32.0,0.0,1.0,-34.578304,-58.529175,BARBARO PROPIEDADES,15.0
1910,265000.0,casa,150.0,3.0,2.0,,,BARBARO PROPIEDADES,35.0
1911,220000.0,casa,120.0,2.0,1.0,,,BARBARO PROPIEDADES,35.0
1912,160000.0,departamento,86.0,2.0,2.0,-34.550575,-58.559055,Montenegro Propiedades,7.0
1913,90000.0,ph,70.0,1.0,1.0,-34.566586,-58.54491,BARBARO PROPIEDADES,25.0
1914,60000.0,departamento,40.0,1.0,,,,EDUARDO RUIZ PROPIEDADES,
1915,280000.0,departamento,340.0,2.0,1.0,-34.557755,-58.54366,ALAN FANATICO GESTION INMOBILIARIA,
1916,110000.0,ph,200.0,4.0,4.0,,,NELIDA DEJTIAR PROPIEDADES,60.0
1917,150000.0,departamento,100.0,3.0,2.0,-34.57815,-58.541847,BARBARO PROPIEDADES,25.0
1918,170000.0,casa,70.0,2.0,1.0,,,BARBARO PROPIEDADES,40.0
1919,120000.0,departamento,62.0,2.0,,,,EDUARDO RUIZ PROPIEDADES,
1920,95000.0,ph,51.0,1.0,1.0,-34.57375,-58.540718,NELIDA DEJTIAR PROPIEDADES,5.0
1921,58000.0,departamento,21.0,0.0,1.0,,,BARBARO PROPIEDADES,40.0
1922,110000.0,ph,100.0,2.0,1.0,-34.57472,-58.5234,BARBARO PROPIEDADES,20.0
1923,155000.0,casa,165.0,4.0,2.0,-34.555447,-58.57138,ALAN FANATICO GESTION INMOBILIARIA,15.0
1924,200000.0,casa,156.0,3.0,2.0,-34.57323,-58.535656,Montenegro Propiedades,20.0
1925,290000.0,casa,400.0,3.0,2.0,-34.556942,-58.53434,ALAN FANATICO GESTION INMOBILIARIA,
1926,58000.0,departamento,25.0,0.0,1.0,,,BARBARO PROPIEDADES,40.0
1927,129000.0,departamento,65.0,2.0,1.0,-34.57019,-58.53908,BARBARO PROPIEDADES,0.0
1928,75000.0,departamento,35.0,0.0,1.0,,,BARBARO PROPIEDADES,15.0
1929,68000.0,ph,60.0,2.0,1.0,-34.56414,-58.526432,BARBARO PROPIEDADES,25.0
1930,110000.0,ph,100.0,2.0,1.0,-34.57472,-58.5234,BARBARO PROPIEDADES,20.0
