,price_USD,type,covered_surface_m2,bedrooms,bathrooms,antiquity,latitude,longitude,seller
3757,85000.0,casa,60.0,1.0,1.0,,-34.55623,-58.57558,Di Rosa Propiedades
3758,55000.0,departamento,22.0,,1.0,40.0,-34.54118,-58.57045,Di Rosa Propiedades
3759,75000.0,ph,42.0,1.0,1.0,,-34.58406,-58.56126,Di Rosa Propiedades
3760,75000.0,ph,85.0,2.0,1.0,,-34.56944,-58.5643,Di Rosa Propiedades
3761,75000.0,casa,80.0,2.0,1.0,40.0,-34.57462,-58.57823,Di Rosa Propiedades
3762,79000.0,ph,90.0,2.0,1.0,35.0,-34.55531,-58.5773,Di Rosa Propiedades
3763,56000.0,departamento,46.0,1.0,1.0,20.0,-34.56527,-58.5624,Di Rosa Propiedades
3764,78000.0,ph,88.0,2.0,1.0,,-34.56324,-58.56855,Di Rosa Propiedades
3765,38000.0,departamento,29.0,1.0,1.0,,-34.57518,-58.57345,Di Rosa Propiedades
3766,30000.0,ph,35.0,1.0,1.0,,-34.56877,-58.57583,Di Rosa Propiedades
3767,55000.0,ph,50.0,2.0,1.0,,-34.56034,-58.56215,Di Rosa Propiedades
3768,75000.0,casa,100.0,3.0,1.0,40.0,-34.57292,-58.57409,Di Rosa Propiedades
3769,90000.0,casa,126.0,2.0,1.0,,-34.56979,-58.57249,Di Rosa Propiedades
3770,45000.0,ph,26.0,1.0,1.0,,-34.57147,-58.57801,Di Rosa Propiedades
3771,55000.0,ph,48.0,2.0,1.0,,-34.5713,-58.57121,Di Rosa Propiedades
3772,55000.0,ph,43.0,1.0,1.0,40.0,-34.55857,-58.56972,Di Rosa Propiedades
3773,65000.0,casa,110.0,2.0,1.0,,-34.54162,-58.58614,Di Rosa Propiedades
3774,65000.0,ph,60.0,2.0,1.0,,-34.58085,-58.57105,Di Rosa Propiedades
3775,65000.0,casa,144.0,1.0,1.0,,-34.56535,-58.57541,Di Rosa Propiedades
3776,70000.0,ph,52.0,1.0,1.0,,-34.56776,-58.56193,Di Rosa Propiedades
3777,68000.0,casa,90.0,2.0,1.0,40.0,-34.52591,-58.57909,Di Rosa Propiedades
3778,70000.0,ph,140.0,3.0,2.0,,-34.55566,-58.58313,Di Rosa Propiedades
3779,55000.0,ph,30.0,1.0,1.0,,-34.55782,-58.56437,Di Rosa Propiedades
3780,70000.0,ph,60.0,2.0,1.0,,-34.56342,-58.5661,Di Rosa Propiedades
3781,100000.0,casa,180.0,4.0,2.0,,-34.55061,-58.57137,Di Rosa Propiedades
3782,75000.0,ph,33.0,1.0,1.0,,-34.55713,-58.56306,Di Rosa Propiedades
3783,98000.0,casa,102.0,1.0,1.0,60.0,-34.56223,-58.56051,Di Rosa Propiedades
3784,75000.0,ph,55.0,2.0,1.0,30.0,-34.56149,-58.57108,Di Rosa Propiedades
3785,75000.0,casa,122.0,2.0,1.0,,-34.56023,-58.57203,Di Rosa Propiedades
3786,90000.0,casa,100.0,2.0,1.0,,-34.57354,-58.58176,Di Rosa Propiedades
3787,80000.0,ph,52.0,2.0,1.0,,-34.56776,-58.56193,Di Rosa Propiedades
3788,80000.0,casa,140.0,4.0,2.0,,-34.55437,-58.57958,Di Rosa Propiedades
3789,89000.0,ph,48.0,1.0,1.0,,-34.55312,-58.54627,Di Rosa Propiedades
3790,95000.0,casa,180.0,3.0,2.0,,-34.56558,-58.57166,Di Rosa Propiedades
